2468.48660273 358014.400372 16.9413424083
2468.50703497 357974.833479 16.9387206243
2468.52746742 357992.753668 16.9367917428
2468.54789976 358019.909786 16.933780171
2468.5683322 358058.878849 16.9323097374
2468.58876444 358014.101611 16.9313655904
2468.60919678 358027.456894 16.930803619
2468.62962922 357930.529369 16.9287060999
2468.65006146 357917.811196 16.9256489249
2468.6704938 357901.042205 16.9458303998
2468.69092624 357952.303041 16.9380853857
2468.71135848 357959.577131 16.9390313428
2468.73179082 357926.149193 16.9403419986
2468.75222325 357912.176025 16.9402465249
2468.77265549 357881.462244 16.9359602844
2468.79308783 357919.640994 16.9370509719
2468.81352026 357892.592731 16.9323891599
2468.8339525 357962.124338 16.9302127701
2468.85438483 357916.432797 16.9320223507
2468.87481726 357862.762462 16.9297449039
2468.8952495 357828.429908 16.9215145999
2468.91568193 357821.910472 16.9435284947
2468.93611426 357823.146265 16.938667899
2468.95654649 357844.21466 16.9364132456
2468.97697893 357884.452643 16.9362932332
2468.99741126 357916.230469 16.9334775715
2469.01784349 357840.53238 16.9321918331
2469.03827592 357844.670796 16.9280047005
2469.05870825 357805.353675 16.9255826862
2469.07914047 357778.069611 16.9229750995
2469.0995729 357824.819806 16.9138701606
2469.12000523 357794.583046 16.9070880505
2469.14043746 357821.313699 16.9011716109
2469.18130221 357760.051748 16.9440617331
2469.20173453 357780.946457 16.9394568423
2469.22216686 357823.370722 16.9408329575
2469.24259918 357788.688291 16.9367349717
2469.26303161 357789.61257 16.9356894936
2469.28346383 357845.090206 16.9361761675
2469.30389615 357793.634421 16.935181315
2469.32432858 357765.387166 16.931678114
2469.3447609 357750.362862 16.9296290968
2469.36519312 357764.934253 16.9293939569
2469.38562554 357728.90999 16.9232156711
2469.40605786 357711.037977 16.9475460568
2469.42649008 357729.342002 16.941903847
2469.4469225 357689.085094 16.9393357351
2469.46735482 357718.6326 16.939017605
2469.48778704 357683.626326 16.9376809299
2469.50821945 357655.507065 16.9363481654
2469.52865177 357723.436084 16.934958399
2469.54908399 357684.931763 16.9327534919
2469.5695164 357741.877109 16.9312820215
2469.61038103 357604.125596 16.924722334
2469.63081335 357582.020368 16.9184444412
2469.65124556 357640.463146 16.9470942576
2469.67167797 357605.651769 16.9394841544
2469.69211029 357608.754062 16.9404994312
2469.7125426 357582.749506 16.9387238614
2469.73297491 357556.535147 16.9355817633
2469.75340722 357508.157251 16.9359356033
2469.77383953 357501.013143 16.9316969485
2469.79427184 357499.358004 16.9305252901
2469.81470415 357447.425627 16.9256535196
2469.83513646 357502.78967 16.9274848763
2469.87600108 357453.3966 16.9154193662
2469.89643339 357441.470573 16.9456285914
2469.91686579 357386.564157 16.9406178852
2469.937298 357384.650764 16.9395637496
2469.95773031 357383.985118 16.9361344763
2469.97816271 357377.404625 16.9334301906
2469.99859492 357290.389424 16.9282650913
2470.01902732 357271.489246 16.9265879243
2470.03945963 357272.188867 16.9228578263
2470.05989183 357218.536994 16.9208430994
2470.08032423 357181.255029 16.9169452184
2470.12118874 357141.322246 16.9043595064
2470.14162114 357103.777204 16.9408607342
2470.16205344 357104.492235 16.9317696725
2470.18248574 357062.380394 16.9316021163
2470.20291804 357018.924303 16.9287051462
2470.22335034 356985.368932 16.9261878765
2470.24378264 356969.911528 16.9250707114
2470.26421494 356918.123199 16.9222939712
2470.28464723 356944.591872 16.92026321
2470.30507943 356921.459733 16.9169378761
2470.36637632 356811.77966 16.8972041209
2470.38680872 356810.309705 16.9232697637
2470.40724101 356794.854849 16.9207163844
2470.4276732 356758.244397 16.9160141132
2470.4481056 356724.283199 16.9121864519
2470.46853789 356670.344016 16.9067901794
2470.48897028 356702.486485 16.9034347941
2470.50940248 356634.126069 16.8948413771
2470.52983477 356543.291767 16.8891543664
2470.55026716 356556.513169 16.882432574
2470.57069935 356561.852274 16.8742820081
2470.59113164 356530.574427 16.8646564179
2470.61156403 356437.729354 16.8576229549
2470.63199622 356513.4865 16.9180837367
2470.65242851 356407.220743 16.9129769937
2470.67286089 356385.878625 16.9110987656
2470.69329318 356338.953956 16.9057483033
2470.71372537 356363.962156 16.9018501381
2470.73415776 356329.037119 16.8977113071
2470.75459004 356251.963186 16.8915507469
2470.77502223 356259.604556 16.8805659002
2470.79545461 356231.915766 16.8760087295
2470.8158869 356204.983072 16.8647042193
2470.83631908 356188.822785 16.8571858285
2470.85675146 356059.266175 16.8476802526
2470.87718375 356117.449953 16.9100121776
2470.89761613 356027.049311 16.9044682789
2470.91804831 355979.540056 16.9017599646
2470.93848059 355989.828512 16.9015569378
2470.95891297 355938.780626 16.8964322069
2470.97934515 355868.528025 16.8901832263
2470.99977743 355895.181341 16.8845908245
2471.02020981 355827.509525 16.8768327558
2471.04064199 355847.362617 16.8687402215
2471.06107427 355865.889265 16.8620874274
2471.08150655 355751.220516 16.8540927919
2471.10193882 355716.254855 16.8470481127
2471.14280338 355679.41794 16.9020300303
2471.16323565 355623.642046 16.9003155822
2471.18366793 355586.157439 16.9022798041
2471.2041003 355578.318532 16.9039927802
2471.22453248 355545.006052 16.9057581186
2471.24496475 355475.197348 16.9040310809
2471.26539712 355459.350791 16.9043413396
2471.28582929 355393.474917 16.9029942275
2471.30626157 355406.267638 16.9042316554
2471.32669394 355368.585026 16.9036962474
2471.34712611 355300.672626 16.8990591629
2471.36755848 355316.101813 16.8988887469
2471.38799075 355282.666956 16.89446101
2471.40842292 355242.240001 16.8922446198
2471.42885529 355184.949064 16.8893479566
2471.44928756 355179.911508 16.8895857951
2471.46971973 355170.474816 16.8864279769
